Id,Time[ns],0:SPI: MISO data
625,27658723450.00,101
626,27658731450.00,254
627,27658739450.00,12
628,27658747450.00,254
629,27658755450.00,61
630,27658763450.00,0
631,27658771450.00,185
632,27658779450.00,1
633,27658787450.00,45
634,27658795450.00,254
635,27658803450.00,231
636,27658811450.00,254
637,27658819450.00,56
638,27658827450.00,0
639,27658835450.00,83
640,27658843450.00,255
641,27658851450.00,56
642,27658859450.00,0
643,27658867450.00,56
644,27658875450.00,1
645,27658883450.00,181
646,27658891450.00,254
647,27658899450.00,231
648,27658907450.00,255
649,27658915450.00,243
650,27658923450.00,254
651,27658931450.00,215
652,27658939450.00,254
653,27658947450.00,5
654,27658955450.00,0
655,27658963450.00,52
656,27658971450.00,0
657,27658979450.00,35
658,27658987450.00,254
659,27658995450.00,182
660,27659003450.00,0
661,27659011450.00,77
662,27659019450.00,255
663,27659027450.00,193
664,27659035450.00,255
665,27659043450.00,206
666,27659051450.00,1
667,27659059450.00,130
668,27659067450.00,1
669,27659075450.00,61
670,27659083450.00,255
671,27659091450.00,123
672,27659099450.00,255
673,27659107450.00,195
674,27659115450.00,255
675,27659123450.00,190
676,27659131450.00,254
677,27659139450.00,124
678,27659147450.00,0
679,27659155450.00,153
680,27659163450.00,1
681,27659171450.00,0
682,27659179450.00,0
683,27659187450.00,220
684,27659195450.00,1
685,27659203450.00,168
686,27659211450.00,0
687,27659219450.00,86
688,27659227450.00,254
689,27659235450.00,91
690,27659243450.00,254
691,27659251450.00,159
692,27659259450.00,255
693,27659267450.00,39
694,27659275450.00,254
695,27659283450.00,241
696,27659291450.00,1
697,27659299450.00,174
698,27659307450.00,0
699,27659315450.00,20
700,27659323450.00,255
701,27659331450.00,126
702,27659339450.00,255
703,27659347450.00,239
704,27659355450.00,0
705,27659363450.00,34
706,27659371450.00,0
707,27659379450.00,110
708,27659387450.00,254
709,27659395450.00,127
710,27659403450.00,255
711,27659411450.00,180
712,27659419450.00,0
713,27659427450.00,100
714,27659435450.00,0
715,27659443450.00,189
716,27659451500.00,254
717,27659459500.00,63
718,27659467500.00,254
719,27659475500.00,30
720,27659483500.00,0
721,27659491500.00,50
722,27659499500.00,255
723,27659507450.00,209
724,27659515500.00,255
725,27659523500.00,137
726,27659531500.00,0
727,27659539500.00,123
728,27659547500.00,254
729,27659555500.00,194
730,27659563500.00,0
731,27659571500.00,17
